"","x"
"1095","contig_13508"
"1096","contig_1351"
"1097","contig_13510"
"1098","contig_13512"
"1099","contig_13513"
"1100","contig_13514"
"1101","contig_13515"
"1102","contig_13516"
"1103","contig_13519"
"1104","contig_13524"
"1105","contig_13525"
"1106","contig_1353"
"1107","contig_13532"
"1108","contig_13537"
"1109","contig_13541"
"1110","contig_13549"
"1111","contig_13551"
"1112","contig_13552"
"1113","contig_13555"
"1114","contig_13559"
"1115","contig_1356"
"1116","contig_13560"
"1117","contig_13567"
"1118","contig_13569"
"1119","contig_13570"
"1120","contig_13573"
"1121","contig_13574"
"1122","contig_13580"
"1123","contig_13582"
"1124","contig_13587"
"1125","contig_13588"
"1126","contig_13591"
"1127","contig_13592"
"1128","contig_13597"
"1129","contig_13600"
"1130","contig_13602"
"1131","contig_13608"
"1132","contig_13609"
"1133","contig_13610"
"1134","contig_13612"
"1135","contig_13615"
"1136","contig_13622"
"1137","contig_13624"
"1138","contig_13625"
"1139","contig_13627"
"1140","contig_13629"
"1141","contig_13630"
"1142","contig_13632"
"1143","contig_13636"
"1144","contig_13639"
"1145","contig_13640"
"1146","contig_13641"
"1147","contig_13642"
"1148","contig_13643"
"1149","contig_13646"
"1150","contig_13647"
"1151","contig_13654"
"1152","contig_13655"
"1153","contig_1366"
"1154","contig_13661"
"1155","contig_13663"
"1156","contig_13665"
"1157","contig_13675"
"1158","contig_13676"
"1159","contig_13678"
"1160","contig_13679"
"1161","contig_13680"
"1162","contig_13681"
"1163","contig_13684"
"1164","contig_13686"
"1165","contig_13687"
"1166","contig_1369"
"1167","contig_13692"
"1168","contig_13694"
"1169","contig_13695"
"1170","contig_13697"
"1171","contig_13699"
"1172","contig_13700"
"1173","contig_13704"
"1174","contig_13705"
"1175","contig_13707"
"1176","contig_13710"
"1177","contig_13712"
"1178","contig_13720"
"1179","contig_13721"
"1180","contig_13725"
"1181","contig_13732"
"1182","contig_13737"
"1183","contig_13738"
"1184","contig_13739"
"1185","contig_13744"
"1186","contig_1375"
"1187","contig_13754"
"1188","contig_13759"
"1189","contig_1376"
"1190","contig_13760"
"1191","contig_13763"
"1192","contig_13764"
"1193","contig_13765"
"1194","contig_13770"
"1195","contig_13773"
"1196","contig_13776"
"1197","contig_13783"
"1198","contig_13784"
"1199","contig_13786"
"1200","contig_13789"
"1201","contig_1379"
"1202","contig_13790"
"1203","contig_13791"
"1204","contig_13792"
"1205","contig_13799"
"1206","contig_13800"
"1207","contig_13801"
"1208","contig_1381"
"1209","contig_13813"
"1210","contig_13816"
"1211","contig_13817"
"1212","contig_1382"
"1213","contig_13820"
"1214","contig_13823"
"1215","contig_13826"
"1216","contig_13828"
"1217","contig_13830"
"1218","contig_13831"
"1219","contig_13836"
"1220","contig_13840"
"1221","contig_13841"
"1222","contig_13842"
"1223","contig_13846"
"1224","contig_13849"
"1225","contig_1385"
"1226","contig_13855"
"1227","contig_13862"
"1228","contig_13864"
"1229","contig_13865"
"1230","contig_13866"
"1231","contig_13871"
"1232","contig_13872"
"1233","contig_13879"
"1234","contig_13881"
"1235","contig_13884"
"1236","contig_13887"
"1237","contig_13891"
"1238","contig_13894"
"1239","contig_13895"
"1240","contig_13899"
"1241","contig_13903"
"1242","contig_13907"
"1243","contig_13908"
"1244","contig_13912"
"1245","contig_13915"
"1246","contig_13916"
"1247","contig_13926"
"1248","contig_13927"
"1249","contig_13928"
"1250","contig_13930"
"1251","contig_13934"
"1252","contig_13935"
"1253","contig_13937"
"1254","contig_13939"
"1255","contig_1394"
"1256","contig_13940"
"1257","contig_13949"
"1258","contig_13958"
"1259","contig_13959"
"1260","contig_13961"
"1261","contig_13962"
"1262","contig_13975"
"1263","contig_1398"
"1264","contig_13981"
"1265","contig_13986"
"1266","contig_13987"
"1267","contig_13990"
"1268","contig_13992"
"1269","contig_13993"
"1270","contig_13997"
"1271","contig_13998"
"1272","contig_14004"
"1273","contig_14005"
"1274","contig_14008"
"1275","contig_14009"
"1276","contig_14013"
"1277","contig_14015"
"1278","contig_14016"
"1279","contig_14018"
"1280","contig_14021"
"1281","contig_14039"
"1282","contig_14041"
"1283","contig_14042"
"1284","contig_14043"
"1285","contig_14044"
"1286","contig_14045"
"1287","contig_14046"
"1288","contig_14049"
"1289","contig_14059"
"1290","contig_14076"
"1291","contig_1408"
"1292","contig_14080"
"1293","contig_14082"
"1294","contig_14083"
"1295","contig_14085"
"1296","contig_14086"
"1297","contig_14089"
"1298","contig_14090"
"1299","contig_14093"
"1300","contig_1410"
"1301","contig_14108"
"1302","contig_14109"
"1303","contig_1411"
"1304","contig_14110"
"1305","contig_14111"
"1306","contig_14112"
"1307","contig_14114"
"1308","contig_14115"
"1309","contig_14117"
"1310","contig_14121"
"1311","contig_14122"
"1312","contig_14123"
"1313","contig_14126"
"1314","contig_14129"
"1315","contig_1413"
"1316","contig_14131"
"1317","contig_14136"
"1318","contig_14140"
"1319","contig_14145"
